#No, RA Dec pv[km/s]    comoving_distance[Mpc/h100]   zcmb zHubble
380 20.820844 -0.906035 -167.4843  78.89302297 0.02590100  0.02647446
381 20.907917 34.569167 -400.4501  73.56012554 0.02330600  0.02467472
382 20.811958 -32.841306 -117.3770  93.85510564 0.03112800  0.03153187
383 20.999167 33.907778 -630.9736  54.87722093 0.01623800  0.01838139
384 20.985208 -1.634917 -537.5458  64.37594772 0.01974700  0.02157875
385 21.01625 12.917389 -27.1718  24.94789699 0.00824600  0.00833739
386 21.035625 9.930528 -5.9690  24.05685910 0.00801900  0.00803907
387 21.090833 32.224167 -630.9736  57.31974800 0.01705800  0.01920312
388 20.874917 -56.687417  26.6584  53.30164846 0.01794200  0.01785149
389 21.109708 9.886556 -100.2108  108.59685571 0.03618000  0.03652648
390 21.124917 15.767444 -320.9138  53.54001181 0.01684200  0.01793165
391 21.142625 16.536917 -27.1718  24.41919134 0.00806900  0.00816037
392 21.187613 32.165722 -235.6060  104.74871412 0.03440800  0.03522158
393 21.206667 32.234444 -316.8234  107.91784403 0.03520100  0.03629617
394 21.146083 7.721167  1.1257  27.30340169 0.00913000  0.00912621
395 21.070708 -37.3355 -260.2947  105.02698648 0.03441700  0.03531591
396 21.191042 9.994639  1.1257  27.18397798 0.00909000  0.00908621
397 21.143792 -33.173528 -117.3770  93.16629023 0.03089500  0.03129878
398 21.223958 -1.500778  209.7667  45.28612725 0.01586800  0.01515769
399 21.212708 -1.6915 -538.0782  58.54678798 0.01778600  0.01961604
400 21.315417 34.359167 -426.3360  53.07532339 0.01632800  0.01777538
401 21.32225 9.264111 -5.9690  23.62670108 0.00787500  0.00789507
402 21.381099 32.136509 -348.7389  49.91734442 0.01553100  0.01671371
403 21.358542 -1.550639 -538.0782  59.91589753 0.01824600  0.02007687
404 21.302833 -35.816361 -282.2428  107.66245708 0.03523400  0.03620955
405 21.303375 -38.069083 -243.8730  67.15111099 0.02168200  0.02251379
406 21.38825 -1.811722 -414.0121  68.04040252 0.02140100  0.02281350
407 21.383458 -1.502611 -574.3565  63.41052234 0.01929700  0.02125357
408 21.368667 -38.267389 -171.7281  63.20979196 0.02060100  0.02118596
409 21.57875 34.753889 -655.6896  58.50511318 0.01737200  0.01960202
410 21.59075 34.703028 -655.6896  58.30559551 0.01730500  0.01953487
411 21.573875 -1.793389 -574.3565  61.43497937 0.01863300  0.02058829
412 21.560125 -6.094139 -222.2435  21.79423310 0.00653500  0.00728172
413 21.604792 -1.638722 -574.3565  61.04813059 0.01850300  0.02045804
414 21.645887 -1.112993 -503.5577  63.46352477 0.01955600  0.02127142
415 21.68125 -1.306222 -4.9542  50.03067693 0.01673500  0.01675180
416 21.677292 2.022361 -488.0985  63.54779412 0.01963700  0.02129980
417 21.759083 33.955444  460.2009  36.65026864 0.01381300  0.01225912
418 21.67625 -25.314972 -345.5549  19.50028379 0.00535400  0.00651416
419 21.789713 14.776272 -341.4361  67.58411578 0.02149500  0.02265972
420 21.838375 11.975583 -96.1996  94.69492216 0.03148500  0.03181610
421 21.725749 -36.556218 -233.7466  61.18963173 0.01971000  0.02050568
422 21.895292 31.554722  448.7703  35.77083085 0.01347900  0.01196415
423 21.919417 37.182917 -577.3167  57.55373167 0.01731900  0.01928185
424 21.772595 -35.856022 -233.7466  62.39036973 0.02011400  0.02091000
425 21.899594 -1.105117  180.4218  42.51933733 0.01483900  0.01422861
426 22.00375 32.033111 -492.6736  68.82007696 0.02139500  0.02307631
427 21.907417 -21.643083 -243.0422  56.86214413 0.01822300  0.01904914
428 21.979333 -1.640611 -535.2546  61.80356166 0.01889000  0.02071240
429 22.078167 34.308639  96.5152  45.59118017 0.01558700  0.01526015
430 22.054 -1.915528 -4.9542  47.93575988 0.01603100  0.01604779
431 22.042417 -1.306028  209.7667  43.05129673 0.01511700  0.01440721
432 22.221907 13.79379 -341.4361  66.48492912 0.02112500  0.02228929
433 22.305458 33.66825 -492.6736  70.77202418 0.02205200  0.02373439
434 22.232417 -1.819194  209.7667  45.58365002 0.01596800  0.01525762
435 22.244325 -0.948996 -517.9952  60.26901273 0.01843300  0.02019574
436 22.296167 11.140694 -390.9285  61.65965913 0.01933300  0.02066394
437 22.336667 32.064361 -650.1788  57.05851960 0.01690500  0.01911522
438 22.262833 -35.598917 -104.9631  57.99374279 0.01907300  0.01942992
439 22.446083 45.599028 -378.9337  55.84409071 0.01741900  0.01870663
440 22.442625 32.021139 -508.5978  68.20891557 0.02113500  0.02287030
441 22.499458 40.973806  85.5374  27.17166382 0.00937000  0.00908209
442 22.583042 17.021583 -282.9333  131.07700440 0.04318000  0.04416545
443 22.522583 -42.686306 -211.0056  69.05689833 0.02243600  0.02315614
444 22.621202 -22.667368 -305.4366  19.33663479 0.00543400  0.00645941
445 22.73025 17.188556  67.6353  27.27093481 0.00934300  0.00911534
446 22.7425 14.108333 -50.8469  45.55856812 0.01507700  0.01524919
447 22.696375 -23.587889 -334.8952  61.01513143 0.01930700  0.02044693
448 22.682583 -51.141917 -114.6263  37.39859404 0.01212300  0.01251014
449 22.860833 14.2775 -50.8469  45.17144807 0.01494700  0.01511917
450 22.991875 33.476528  503.9852  38.24585883 0.01449700  0.01279438
451 22.894417 -41.531222 -158.5635  64.63307921 0.02112500  0.02166537
452 23.111041 -34.6092  26.1854  52.56302021 0.01769200  0.01760312
453 23.323658 13.332025  66.4730  26.93336827 0.00922600  0.00900227
454 23.3275 3.070556 -148.6310  18.56970329 0.00570400  0.00620285
455 23.426167 3.543222  95.9599  34.10117561 0.01172800  0.01140426
456 23.720292 55.402333 -359.0734  60.90301779 0.01918700  0.02040918
457 23.510258 -1.075769  209.7667  44.11077937 0.01547300  0.01476296
458 23.533209 -1.032286 -29.8615  49.13044625 0.01634800  0.01644925
459 23.501 -34.387389 -20.7737  38.18863560 0.01270500  0.01277518
460 23.553792 -25.5665 -340.8131  60.79551251 0.01921300  0.02037299
461 23.645625 -15.504389 -260.2966  56.86705423 0.01816600  0.01905080
462 23.2005 -79.474319 -39.7023  18.04464786 0.00589400  0.00602723
463 23.773667 -7.340306 -233.2513  20.69661954 0.00613100  0.00691442
464 23.911886 -41.287941 -221.4268  74.81221687 0.02434000  0.02509714
465 24.234292 31.985306 -431.7241  70.17464795 0.02205900  0.02353297
466 24.115125 -36.377417  26.1854  53.49672145 0.01800600  0.01791709
467 24.515292 32.494139 -635.7914  60.66748180 0.01816600  0.02032989
468 24.644958 34.992111 -374.5920  51.45931379 0.01596100  0.01723204
469 24.586875 7.534139  145.2961  41.40825271 0.01434700  0.01385563
470 24.618708 -33.607944 -119.7826  90.05317526 0.02983400  0.03024564
471 24.879833 33.824389 -374.5920  51.96560030 0.01613100  0.01740225
472 24.888042 35.159833 -579.0706  57.33328333 0.01723900  0.01920767
473 24.746021 -29.925329 -332.8349  61.92490869 0.01962000  0.02075326
474 24.140417 -80.347222 -79.6785  43.88361545 0.01441700  0.01468668
475 24.720667 -42.585278  28.0270  61.73282123 0.02078400  0.02068858
476 25.03625 5.726694  95.9599  32.05254470 0.01104100  0.01071748
477 25.116542 34.625306 -639.3711  61.29012174 0.01836300  0.02053952
478 24.987625 -28.696667 -332.8349  62.14491028 0.01969400  0.02082734
479 25.115958 -5.520556 -151.7236  22.75997362 0.00709500  0.00760494
480 25.089958 -28.91275 -230.5223  58.92733552 0.01896000  0.01974412
481 25.279625 -5.568111 -205.4016  16.99456620 0.00498700  0.00567603
482 25.35185 8.525527  145.2961  41.38740873 0.01434000  0.01384863
483 25.478875 7.121333 -415.3990  58.66508680 0.01824300  0.01965586
484 25.54025 12.601889  66.4730  29.14494239 0.00996700  0.00974311
485 25.455458 -28.247222 -332.8349  60.95264973 0.01929300  0.02042589
486 25.676292 -18.226917 -99.4608  49.98163175 0.01639800  0.01673532
487 25.76 13.645056 -282.3641  11.30580977 0.00282900  0.00377442
488 24.698958 -83.364306 -193.4189  51.01061839 0.01642500  0.01708120
489 25.739667 4.200167 -453.3504  60.03997349 0.01857600  0.02011864
490 25.809083 8.889361 -394.4472  59.09569235 0.01845900  0.01980079
491 25.799625 4.278722 -453.3504  60.42672625 0.01870600  0.02024883
492 25.775583 -44.214778 -137.0109  64.45355075 0.02113800  0.02160489
493 25.940875 4.222889 -415.3990  58.27827764 0.01811300  0.01952568
494 25.882833 -44.161667 -227.7485  66.04633803 0.02136500  0.02214151
495 26.0725 12.254444 -230.1067  103.80398141 0.03410700  0.03490134
496 26.085917 17.477583 -110.0756  46.98080667 0.01535400  0.01572695
497 26.159875 34.660222 -639.3711  62.99536461 0.01893600  0.02111374
498 26.208333 21.882417 -314.3474  107.44098388 0.03504800  0.03613444
499 26.11975 -40.664611 -215.7211  101.77632090 0.03347000  0.03421419
500 26.422 28.805528 -237.9333  80.36080083 0.02615500  0.02697007
501 26.46575 35.110917 -639.3711  62.84658300 0.01888600  0.02106364
502 26.398667 3.357528 -371.9122  56.90396047 0.01779900  0.01906321
503 26.295 -41.88 -246.4737  65.80824607 0.02122100  0.02206129
504 25.389083 -83.212222 -128.1938  47.40182374 0.01543400  0.01586839
505 26.47875 9.822944 -280.3213  54.69822569 0.01736900  0.01832118
506 26.408542 -34.523333 -13.6128  84.26733073 0.02824300  0.02828969
507 26.594458 36.460306  377.6997  41.02454569 0.01500400  0.01372684
508 26.706385 24.465252  234.6142  28.79801016 0.01041700  0.00962688
509 26.711629 11.401548 -248.7124  54.50669495 0.01741200  0.01825676
510 26.746553 13.125124 -344.6521  58.30625854 0.01836300  0.01953509
511 26.817292 35.563306  119.9118  45.36727737 0.01559100  0.01518494
512 26.804708 -40.658056 -194.7779  101.25580018 0.03336600  0.03403782
513 27.029441 36.453242 -53.3372  46.97415192 0.01554400  0.01572471
514 26.950333 -16.722 -205.3645  53.58362762 0.01724900  0.01794632
515 26.935375 -33.6015 -56.3885  86.45947468 0.02883700  0.02903055
516 27.0935 11.521308 -248.7124  54.14068315 0.01728900  0.01813366
517 27.139463 13.430714 -300.7734  52.99710227 0.01672800  0.01774908
518 27.157696 13.76889 -3.3090  47.77035286 0.01598100  0.01599221
519 27.312458 20.711306  147.8861  25.94845517 0.00917000  0.00867243
520 27.35725 35.452889  541.0796  35.88811426 0.01383000  0.01200349
521 27.156 -48.821111 -147.9804  64.22895421 0.02102500  0.02152924
522 27.353407 13.368957 -3.3090  45.94266408 0.01536700  0.01537821
523 27.515 16.439167 -197.6191  51.54714884 0.01659100  0.01726157
524 27.551417 27.196167  327.0348  31.65007881 0.01168500  0.01058258
525 27.446417 -21.9075  6.2957  117.29567080 0.03950100  0.03947917
526 27.465708 -27.466611 -35.9533  42.32873652 0.01404300  0.01416463
527 27.684083 35.284528  541.0796  35.93573484 0.01384600  0.01201946
528 27.628542 6.145222 -139.7287  17.03254613 0.00522000  0.00568874
529 27.695125 32.546694 -499.2524  117.46641694 0.03780600  0.03953717
530 27.699583 35.93275 -374.5920  52.27530904 0.01623500  0.01750638
531 27.673833 21.759917  148.9254  25.11120021 0.00889300  0.00839207
532 27.721667 18.302778 -349.9642  54.99456287 0.01723200  0.01842086
533 27.682 -12.035667 -360.6066  58.46767351 0.01836300  0.01958942
534 27.785667 21.912806  147.8861  27.86734997 0.00981300  0.00931511
535 27.82825 34.872861 -327.8770  53.59848674 0.01683800  0.01795131
536 27.823167 34.848694  232.0854  44.38587926 0.01564100  0.01485535
537 27.766 -9.702611 -227.3514  20.55659932 0.00610400  0.00686757
538 27.823208 22.357972  234.6142  28.46992002 0.01030700  0.00951696
539 27.871458 36.065944 -558.0802  58.52901055 0.01771200  0.01961006
540 27.782918 -9.792037 -36.3710  128.12145832 0.04303300  0.04315956
541 27.868208 -6.516611 -131.9017  22.58176490 0.00710200  0.00754530
542 28.002 35.639083 -327.8770  52.71430928 0.01654100  0.01765399
543 28.0115 36.131028 -556.2052  65.91512913 0.02020100  0.02209730
544 27.980417 8.831389 -345.8159  56.98814528 0.01791600  0.01909154
545 28.090625 35.796194  541.0796  35.42081889 0.01367300  0.01184677
546 27.979792 -24.316639 -52.0016  90.96118962 0.03037400  0.03055276
547 28.239417 36.512889 -558.0802  55.64975837 0.01674500  0.01864126
548 28.204167 -3.446833 -128.3398  51.13623919 0.01668800  0.01712343
549 28.248671 12.708469  11.0777  45.32126149 0.01520700  0.01516949
550 28.136792 -35.839667 -146.4068  99.50196590 0.03293900  0.03344369
551 28.345667 36.955139 -558.0802  57.97231611 0.01752500  0.01942271
552 28.373542 36.221306  377.6997  39.29848306 0.01442400  0.01314757
553 28.1935 -48.891222 -30.1317  61.95560709 0.02066100  0.02076360
554 28.472509 36.585084 -599.5007  63.24884286 0.01915700  0.02119911
555 28.461167 36.564194 -599.5007  63.24884286 0.01915700  0.02119911
556 28.479625 36.229417 -558.0802  57.27861374 0.01729200  0.01918928
557 28.515322 14.909537 -154.7055  52.28631062 0.01698500  0.01751008
558 28.5825 36.629806 -558.0802  56.57292600 0.01705500  0.01895184
559 28.556292 18.101778 -306.0634  52.21698896 0.01644800  0.01748677
560 28.601695 13.541129 -205.5267  64.08067389 0.02077900  0.02147929
561 28.630076 17.674247 -151.1578  70.04439908 0.02297300  0.02348905
562 28.689417 39.383528 -580.8399  61.61075826 0.01867000  0.02064748
563 28.64375 16.866667 -289.8165  53.88947242 0.01706500  0.01804917
564 28.600167 5.421889 -109.0727  50.38520179 0.01650100  0.01687097
565 28.657167 17.0758 -110.0756  48.57963253 0.01589100  0.01626414
566 28.724125 36.917944 -616.3469  62.20856377 0.01875000  0.02084878
567 28.740208 37.343  377.6997  42.04508859 0.01534700  0.01406940
568 28.74475 35.422806  416.2403  42.11539183 0.01550100  0.01409300
569 28.757833 36.919917 -616.3469  62.20856377 0.01875000  0.02084878
570 28.670833 6.034917 -194.0622  54.16270314 0.01748200  0.01814106
571 28.795 36.260722  416.2403  41.05333856 0.01514400  0.01373650
572 28.80825 35.458556 -636.7862  63.23696373 0.01902600  0.02119511
573 28.838458 36.306917  416.2403  39.34536094 0.01457000  0.01316330
574 28.592208 -49.260583 -30.1317  59.36819372 0.01979000  0.01989251
575 28.778833 5.373583 -324.1980  58.11718711 0.01836900  0.01947146
576 28.816 10.013667 -288.5245  61.66667108 0.01968400  0.02066630
577 28.841829 6.611847 -194.0622  53.39802216 0.01722500  0.01788390
578 29.013542 17.532056 -175.0660  83.28055524 0.02735600  0.02795628
579 29.036917 17.641278 -205.9470  114.57857826 0.03784300  0.03855645
580 29.099208 37.215861  416.2403  40.38686389 0.01492000  0.01351281
581 29.087875 37.452194 -310.2473  52.61652888 0.01656800  0.01762111
582 29.063476 13.165849 -152.5355  77.74256634 0.02556400  0.02608608
583 29.046244 6.744941 -194.0622  52.61539531 0.01696200  0.01762073
584 29.070625 4.647139 -88.3541  50.45580376 0.01659500  0.01689470
585 29.182833 36.384528  39.0126  47.39411286 0.01599800  0.01586580
586 29.191917 36.886389 -616.3469  60.70862074 0.01824600  0.02034374
587 29.0945 -9.061417 -227.3514  18.65111595 0.00546700  0.00623009
588 29.178708 17.710722 -205.9470  115.41261498 0.03812600  0.03883965
589 29.181375 15.014806  41.4661  46.14611482 0.01558700  0.01544655
590 29.228625 33.015167  232.0854  43.49317235 0.01534100  0.01455558
591 29.2225 -2.018972  139.5824  42.87410990 0.01482000  0.01434772
592 29.290775 14.54988 -310.5734  81.93713059 0.02643800  0.02750245
593 29.272233 -0.46826 -276.2012  69.38796930 0.02232500  0.02326774
594 29.412167 36.255361  416.2403  41.05333856 0.01514400  0.01373650
595 29.185375 -43.972583 -59.1835  57.74802734 0.01914600  0.01934723
596 29.425833 35.916111 -327.8770  51.71388236 0.01620500  0.01731762
597 29.335622 4.348465  59.2445  47.70490900 0.01617100  0.01597023
598 29.499583 4.395056  59.2445  46.88059266 0.01589400  0.01569328
599 29.535667 2.0645 -291.9293  65.53779933 0.02097500  0.02197017
600 29.452667 -33.239806 -253.1357  58.80814993 0.01884300  0.01970401
601 29.625167 25.360111 -408.3874  53.09338615 0.01639500  0.01778146
602 29.502375 -35.572583 -151.9503  99.99260765 0.03308600  0.03360989
603 29.494792 -38.019444 -165.8553  111.86715139 0.03706200  0.03763606
604 29.728625 36.674694  39.0126  47.81074310 0.01613800  0.01600579
605 29.777833 36.063 -616.3469  60.69969147 0.01824300  0.02034073
606 29.553542 -39.54475 -123.8485  56.34131683 0.01845300  0.01887391
607 29.789375 25.385722 -408.3874  54.53153201 0.01687800  0.01826512
608 29.815542 24.416611  353.5192  35.47754455 0.01305900  0.01186579
609 29.716375 -8.16225  12.8792  47.56838564 0.01596800  0.01592436
610 29.87902 13.943774  41.4661  45.52100459 0.01537700  0.01523658
611 29.980375 24.312222 -408.3874  54.82924490 0.01697800  0.01836525
612 30.062333 24.252778 -181.7001  50.10640283 0.01616100  0.01677725
613 30.079417 24.473694 -408.3874  53.22143278 0.01643800  0.01782451
614 30.097375 24.580556 -408.3874  54.58214416 0.01689500  0.01828214
615 30.042165 -35.410944 -194.6824  105.67753826 0.03486400  0.03553647
616 30.2455 8.311167  109.8535  45.85554341 0.01572100  0.01534894
617 30.300792 19.67525  67.9423  23.60433764 0.00811600  0.00788758
618 30.228833 -31.919778 -181.1479  56.43273313 0.01828900  0.01890467
619 30.276864 -6.815517  100.8100  39.64032021 0.01360300  0.01326227
620 30.310625 -34.363028 -25.2102  48.13116115 0.01602800  0.01611345
621 30.549358 -0.130432 -357.9108  62.62472530 0.01977000  0.02098892
622 30.550125 -28.657444 -102.6638  50.85915694 0.01668200  0.01703028
623 30.9015 48.45525 -437.3865  78.33870175 0.02479000  0.02628732
624 30.728792 7.523861 -183.7039  77.31771018 0.02531400  0.02594267
625 30.498708 -58.570778 -131.9023  64.83841074 0.02128500  0.02173454
626 30.77175 2.61425 -291.9293  66.51814618 0.02130500  0.02230049
627 30.936792 38.258722 -602.4809  63.51704847 0.01923700  0.02128944
628 30.921083 26.276917 -408.3874  54.07600481 0.01672500  0.01811191
629 30.904208 15.746861 -219.7251  81.50050134 0.02660200  0.02735497
630 30.898042 4.785722  59.2445  46.78238194 0.01586100  0.01566029
631 30.93625 16.030972 -1.4066  20.99039792 0.00700800  0.00701272
632 31.020542 2.786833 -240.6401  65.29468904 0.02106800  0.02188826
633 30.985833 -23.311611 -183.4296  51.30562027 0.01655800  0.01718037
634 31.231292 43.155 -272.5057  92.36358862 0.03009000  0.03102718
635 30.955875 -52.447694 -213.4377  64.95094576 0.02104500  0.02177245
636 31.313792 37.63375 -310.2473  54.80135286 0.01730200  0.01835587
637 31.312417 30.004833 -500.4016  57.19202534 0.01745900  0.01916014
638 31.361 31.175333 -603.8832  58.60576003 0.01758200  0.01963589
639 31.3905 34.880944  416.2403  39.81256996 0.01472700  0.01332008
640 31.308292 9.92525 -234.9238  79.53892585 0.02588800  0.02669254
641 31.3615 13.327083 -89.3447  75.75896062 0.02511100  0.02541660
642 31.337458 8.526139 -206.5243  59.40710020 0.01920300  0.01990560
643 30.636917 -79.670389 -36.3686  46.25817813 0.01536100  0.01548419
644 31.513 9.295556 -319.7826  95.03659330 0.03083100  0.03193174
645 31.653375 1.515694 -261.2448  70.45653329 0.02273600  0.02362801
646 31.784625 42.965722 -449.0917  60.21701372 0.01865000  0.02017824
647 31.568208 -41.523083 -68.2179  54.26266826 0.01794300  0.01817469
648 31.652375 -31.777833 -185.8071  107.56709309 0.03553500  0.03617721
649 31.801042 8.978028 -288.4955  82.67298064 0.02676200  0.02775102
650 31.586583 -52.028083  30.7125  58.24820006 0.01962000  0.01951555
651 31.869417 9.168306 -321.5576  93.64373861 0.03035400  0.03146035
652 31.4295 -71.115472  74.0533  80.18689096 0.02716500  0.02691134
653 32.12875 18.995333 -359.1592  55.45363018 0.01735500  0.01857528
654 32.238694 47.219905 -33.8643  49.93560533 0.01660500  0.01671985
655 32.104082 14.349556  41.4661  43.61553644 0.01473700  0.01459667
656 32.1855 38.777194  550.8968  36.75966642 0.01415600  0.01229581
657 32.115583 6.394917  109.1873  33.97409135 0.01173000  0.01136165
658 32.134833 6.323722  97.6840  32.89111611 0.01132800  0.01099858
659 32.086625 -24.547639 -94.1893  96.59822445 0.03213600  0.03246038
660 32.234417 7.971472  123.4997  33.30838023 0.01155500  0.01113846
661 32.26 6.159167  97.6840  32.12468109 0.01107100  0.01074166
662 31.927708 -65.928028  30.5703  79.95873186 0.02693900  0.02683429
663 32.4855 38.178389 -616.3469  61.49137259 0.01850900  0.02060728
664 32.325333 -23.415083 -230.3519  55.45173853 0.01779200  0.01857464
665 32.36785 -9.680325 -227.3514  21.56445809 0.00644100  0.00720483
666 32.487 16.032722 -277.9782  84.69912652 0.02748200  0.02843560
667 32.576917 38.593528 -358.8045  75.64225954 0.02415000  0.02537722
668 32.474917 10.961083  23.5680  45.38587908 0.01527100  0.01519119
669 32.231083 -56.737056 -189.4379  65.79503584 0.02141100  0.02205683
670 32.537083 7.645861  123.4997  33.01915706 0.01145800  0.01104150
671 32.567539 7.845311 -144.8150  73.76847841 0.02425000  0.02474500
672 32.560166 -9.711039 -211.1381  22.14014882 0.00668800  0.00739749
673 32.525542 -32.939861 -90.1499  34.30366961 0.01116800  0.01147216
674 32.567708 -22.4315 -230.3519  57.89375711 0.01861300  0.01939627
675 32.749583 32.730611 -571.6691  122.80023104 0.03936400  0.04134973
676 32.749 37.823861  550.8968  37.94095361 0.01455300  0.01269208
677 32.755375 37.666278  39.0126  45.37903138 0.01532100  0.01518889
678 32.79875 38.757806 -399.0139  75.75361789 0.02405000  0.02541479
679 32.822333 37.497167  416.2403  41.10094129 0.01516000  0.01375248
680 32.761333 17.199583  76.7223  42.20613455 0.01438300  0.01412347
681 32.665292 -22.652306 -203.0151  54.08357510 0.01742500  0.01811445
682 32.662108 -40.918076 -300.6827  17.15209170 0.00472000  0.00572872
683 32.894875 31.509861 -302.2475  52.70537788 0.01662500  0.01765098
684 32.855333 15.898806 -79.6626  78.44653658 0.02605100  0.02632372
685 32.727708 -39.365861 -68.2179  52.74280583 0.01743200  0.01766357
686 32.989208 29.313889 -251.2743  51.48482124 0.01638800  0.01724061
687 32.93325 -6.490361 -201.6495  52.22479339 0.01680500  0.01748939
688 33.082458 37.477333  550.8968  38.63712866 0.01478700  0.01292565
689 32.878125 -35.835111 -273.3288  64.67500193 0.02074800  0.02167949
690 32.943542 -18.266083 -173.4150  51.78188033 0.01675200  0.01734048
691 32.942516 -19.922887 -72.6875  43.96206904 0.01446700  0.01471303
692 32.984708 -20.376111 -5.0720  92.39686727 0.03102100  0.03103844
693 32.671625 -75.037694  88.7729  79.93104270 0.02712900  0.02682494
694 33.297042 9.511028 -331.3056  84.97445208 0.02739200  0.02852864
695 33.22775 -19.316889 -200.9237  26.51497687 0.00818600  0.00886215
696 33.39125 25.8555 -216.3656  49.89968867 0.01597400  0.01670778
697 33.362333 9.611167 -224.2742  136.93813558 0.04537900  0.04616163
698 33.409409 16.593951 -299.7654  113.06892619 0.03700600  0.03804395
699 33.358372 -18.833289 -215.2212  105.65966461 0.03478700  0.03553041
700 33.453625 16.796944 -360.7137  110.82697354 0.03603500  0.03728307
701 33.517833 16.455889 -277.9782  84.44439195 0.02739600  0.02834952
702 33.71075 31.470583 -603.8832  58.64744164 0.01759600  0.01964992
703 33.60775 -7.368472 -201.6495  51.89740294 0.01669500  0.01737932
704 33.837667 49.844167 -262.0862  122.78740262 0.04043500  0.04134537
705 33.553708 -31.149333 -22.1526  37.01007836 0.01230500  0.01237981
706 33.7675 32.724861  385.0743  40.42365438 0.01482700  0.01352516
707 33.649417 -7.310111 -126.3948  126.92541888 0.04231300  0.04275263
708 33.299083 -70.913083  74.0533  78.76565278 0.02668500  0.02643146
709 33.835917 22.006111  114.1545  42.88314714 0.01473700  0.01435076
710 33.738625 -20.211778 -305.9113  19.13493522 0.00536500  0.00639193
711 33.975583 42.823889 -449.0917  61.15704105 0.01896600  0.02049471
712 33.933708 25.206583 -325.0563  53.93908951 0.01696200  0.01806586
713 33.855125 -17.781056 -24.2271  43.25313909 0.01439300  0.01447498
714 34.053292 32.6495 -302.2475  51.04698761 0.01606800  0.01709342
715 34.062958 28.599722  264.0887  27.22836403 0.00999000  0.00910108
716 33.958167 -31.201 -54.5910  35.66979300 0.01174600  0.01193027
717 34.0435 -11.926722 -227.3514  21.15475368 0.00630400  0.00706772
718 34.294708 14.547833  148.0644  35.80375553 0.01247500  0.01197520
719 34.472129 14.521266  165.0443  37.16455894 0.01298900  0.01243163
720 34.4985 14.544056  165.0443  37.38205493 0.01306200  0.01250459
721 34.478917 -34.80325 -259.5177  65.13826788 0.02095100  0.02183556
722 34.683958 30.502333  70.6789  46.37841325 0.01576400  0.01552458
723 34.510542 -27.818306 -164.1044  50.57470310 0.01637800  0.01693466
724 34.7325 15.156944  165.0443  36.10080989 0.01263200  0.01207482
725 34.688625 -6.639083 -175.7073  54.10517713 0.01752500  0.01812172
726 34.645917 -25.756611 -198.1780  108.37182164 0.03576500  0.03645015
727 34.737917 4.815 -80.7157  58.58089753 0.01935300  0.01962752
728 34.813669 -18.93225 -305.9113  19.13194289 0.00536400  0.00639093
729 34.969667 29.03625 -412.7468  53.83126846 0.01662800  0.01802960
730 34.871304 -21.435918 -305.9113  19.01224826 0.00532400  0.00635089
731 34.885875 -16.069722 -81.4948  43.80064666 0.01438300  0.01465882
732 35.083083 8.03825 -155.6144  73.02672584 0.02396300  0.02449479
733 35.025458 -19.750722 -200.9237  25.33762404 0.00779200  0.00846788
734 34.483875 -76.08125  11.9240  82.08123834 0.02759200  0.02755113
735 34.994083 -41.403139 -239.1470  62.84027111 0.02024700  0.02106151
736 35.326958 13.718 -209.9887  80.01785621 0.02613500  0.02685426
737 35.355125 25.422833 -7.9154  45.18523629 0.01509700  0.01512380
738 35.064917 -58.708222 -72.3832  89.94703370 0.02996100  0.03020974
739 35.4435 33.020833  536.8211  33.95432458 0.01316600  0.01135502
740 35.37925 14.198861  148.0644  35.84547870 0.01248900  0.01198919
741 35.452083 16.874667  165.0443  37.87958705 0.01322900  0.01267150
742 35.552125 28.73475 -16.7161  47.89665974 0.01597800  0.01603465
743 35.639224 42.349146 -372.0909  9.00533979 0.00176100  0.00300589
744 35.670417 28.256972 -412.7468  54.84356061 0.01696800  0.01837007
745 35.26449 -63.624516 -46.0742  58.87562926 0.01957000  0.01972672
746 35.49575 -37.454944 -46.9747  49.25253147 0.01633100  0.01649027
747 35.88275 25.465083 -530.8691  117.37685501 0.03766600  0.03950675
748 35.757958 -20.712056 -305.9113  19.73038343 0.00556400  0.00659114
749 35.769042 -21.233861 -244.2799  17.48062229 0.00501900  0.00583859
750 35.966417 25.542056 -441.4815  55.39319017 0.01705500  0.01855495
751 35.981583 27.492806 -668.6885  113.01699521 0.03571100  0.03802632
752 36.175625 25.561083 -331.6007  99.15142039 0.03218200  0.03332496
753 36.103375 -2.162361 -200.5768  15.82693005 0.00461300  0.00528559
754 36.31492 45.451259 -205.0243  53.78847958 0.01731900  0.01801521
755 36.16925 -19.142028 -237.7089  102.76822602 0.03373000  0.03455031
756 36.410153 23.000809  289.8739  38.90787860 0.01399600  0.01301650
757 36.521583 42.144083 -509.9167  60.28540465 0.01846600  0.02020126
758 36.461825 18.49625 -104.2383  16.11698310 0.00503300  0.00538257
759 36.368083 -25.637917 -164.1044  49.94065941 0.01616500  0.01672155
760 36.606917 22.995944 -582.1463  107.04969239 0.03399000  0.03600174
761 36.527958 -0.331932 -125.4907  64.85073071 0.02131100  0.02173869
762 36.734917 20.533  152.2758  40.48331994 0.01406000  0.01354518
763 36.63925 -15.847528 -22.3179  68.72768091 0.02296900  0.02304516
764 36.820333 33.579167 -355.1340  9.08707314 0.00184500  0.00303319
765 36.772375 -19.094556 -237.7089  101.30033492 0.03323300  0.03405291
