#No, RA Dec pv[km/s]    comoving_distance[Mpc/h100]   zcmb zHubble
88 5.610375 29.504278 -421.7047  74.81465476 0.02365600  0.02509796
89 5.739 -22.118611 -168.0531  74.99457905 0.02458400  0.02515867
90 5.986333 24.305694 -362.4804  60.23267596 0.01895000  0.02018351
91 6.011834 16.486389 -365.8032  12.10094858 0.00281500  0.00404012
92 6.193917 29.560528 -213.8904  48.67469253 0.01557100  0.01629609
93 6.249505 6.664762 -107.7289  87.41301747 0.02898300  0.02935289
94 6.263958 31.344778 -419.1104  71.94735737 0.02269900  0.02413074
95 6.354 6.706417 -78.8558  89.63719812 0.02983400  0.03010495
96 6.375167 24.811333 -1.0036  45.38351830 0.01518700  0.01519040
97 6.35475 -41.602417 -60.3673  80.35703624 0.02676200  0.02696879
98 6.449 -2.284778 -209.2495  55.19085088 0.01777600  0.01848688
99 6.703042 31.703306 -319.8290  65.92734273 0.02101100  0.02210141
100 6.692833 -33.677083 -305.0369  21.34907981 0.00610800  0.00713275
101 6.762167 11.583806 -120.2110  22.51215276 0.00711800  0.00752200
102 6.964672 3.489737 -252.4801  16.34788059 0.00461300  0.00545978
103 6.957241 -1.19999  27.5874  38.52726492 0.01298200  0.01288879
104 7.062208 30.80325 -319.8290  65.91842951 0.02100800  0.02209841
105 7.089583 27.373 -287.3242  98.13880451 0.03199200  0.03298202
106 7.092333 2.52725  23.3070  42.51795473 0.01430700  0.01422815
107 7.143208 33.272306 -120.6535  48.36783467 0.01578400  0.01619297
108 7.144678 31.1555 -319.8290  63.62732319 0.02023700  0.02132659
109 7.34965 31.381047 -319.8290  66.28386141 0.02113100  0.02222154
110 7.414875 11.601528 -359.0895  55.51245115 0.01737500  0.01859507
111 7.472542 31.393361 -319.8290  65.99864804 0.02103500  0.02212544
112 7.591542 -33.244028 -311.8098  18.93085313 0.00527700  0.00632366
113 7.691333 -29.342917 -127.2890  73.53150665 0.02423000  0.02466506
114 7.82375 28.99375 -193.7941  48.34079905 0.01552700  0.01618389
115 7.80875 -7.840778 -413.8377  65.09664295 0.02041100  0.02182154
116 7.815083 -22.559944 -205.1176  82.08396152 0.02684900  0.02755205
117 7.867375 -19.761306 -199.4276  72.58090430 0.02366300  0.02434441
118 7.898833 -10.506306 -77.1331  36.21285848 0.01185200  0.01211240
119 7.940583 -5.152639 -27.6544  41.47050481 0.01378300  0.01387653
120 8.050292 31.681639 -319.8290  66.34327927 0.02115100  0.02224156
